PUBLICATION_DATE,UID,SITE_ID,UNIQUE_ID,AG_ECO3,AG_ECO3_NM,AG_ECO9,AG_ECO9_NM,AREA_CAT6,AREA_HA,BORD_LAKE,CNTYNAME,COMID,DES_FTYPE,ELEVATION,EPA_REG,EVAL_CAT,FCODE,FED_NONFED,FEOW_ID,FRAME07,FRAME12,FRAME17,FRAME17_ID,FRAME17_IDs,FRAME22_ID,FS_EW,FTYPE,GNIS_ID,GNIS_NAME,HUC2,HUC2_NM,HUC8,HUC8_NM,LAKE_ORGN,LAT_DD83,LON_DD83,MAJ_BAS_NM,MAJ_BASIN,MIS_BAS_NM,MIS_BASIN,MISS_BASIN,NA_L1CODE,NA_L1NAME,NA_L2CODE,NA_L2NAME,NARS_NAME,NES_ID,NES_SITE,OWN_NARS,PERIM_KM,PERM_ID,PSTL_CODE,REACHCODE,SOURCE,STATE_PCT,STATECTY,STATES,TNT_CAT,URBN_NLA07,URBN_NLA17,URBN_NLA22,US_L3CODE,US_L3NAME,US_L4CODE,US_L4NAME,XCOORD,YCOORD,FRAME22,PANEL_USE,PROB_CAT,STRATUM,WGT_CAT_NR,WGT_DSGN,WGT_TP_EXT_NLA,WGT_CAT_NR_NLA,WGT_TP_CORE_NLA,WGT_TP_NES,WGT_CAT_NES,STUDY,DATE_COL,SITESAMP,VISIT_NO,INDEX_LAT_DD,INDEX_LON_DD,INDEX_SITE_DEPTH
8/13/2024,0,NLA22_AL-10006,NLA_AL-10054,EHIGH,Eastern Highlands,SAP,Southern Appalachians,"(10,20]",18.8733153,Not_Border,Shelby,22270722,Reservoir,179,Region_04,Target_Denied,43600,Non-Federal,153,Exclude,Exclude,Include2017,77841,77841,135704,Not_USFS,Reservoir,131491,Deerwood Lake,H03W,South Atlantic-West,H03150107,Lower Coosa,MAN_MADE,33.37489,-86.47412,South Atlantic Gulf Region,H03,Not Mississippi River Basin,NMRB,NOT_MISSISSIPPI_BASIN,8,EASTERN TEMPERATE FORESTS,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS,Deerwood Lake,,N,Non Federal,4.070526908,64a8c45a-7908-42ba-af07-b096bba97f2c,AL,R03150107010223,NHDPlusHR,100,F1117,AL,Target,Non-Urban,Non-Urban,Non-Urban,67,Ridge and Valley,67f,Southern Limestone/Dolomite Valleys and Low Rolling Hills,878990.7947,-417551.2677,Exclude,NLA22_17Base,"(10,20]",AL,"AL_(10,20]",54.02838612,42.63636364,"AL_(10,20]",0,0,,NLA,,,,,,
8/13/2024,0,NLA22_AL-10007,NLA_AL-10055,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,"(10,20]",19.52807869,Not_Border,Hale,18207856,Lake/Pond: Hydrographic Category = Perennial,53,Region_04,Lake_SpecialPurpose,39004,Non-Federal,153,Exclude,Exclude,Include2017,79625,79625,146771,Not_USFS,LakePond,130844,Carmichael Lake,H03W,South Atlantic-West,H03160113,Lower Black Warrior,MAN_MADE,32.64404,-87.60926,South Atlantic Gulf Region,H03,Not Mississippi River Basin,NMRB,NOT_MISSISSIPPI_BASIN,8,EASTERN TEMPERATE FORESTS,8.3,SOUTHEASTERN USA PLAINS,Carmichael Lake,,N,Non Federal,2.202212051,90621968,AL,R03160113002971,NHDPlusHR,100,F1065,AL,NonTarget,Urban,Non-Urban,Non-Urban,65,Southeastern Plains,65a,Blackland Prairie,781729.9874,-508674.1883,Include,NLA22_17Base,"(20,50]",AL,"AL_(10,20]",21.98807464,29.125,"AL_(10,20]",0,0,,NLA,,,,,,
8/13/2024,0,NLA22_AL-10015,NLA_AL-10056,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,>50,134.2491414,Not_Border,Washington,21640918,Lake/Pond: Hydrographic Category = Perennial,16,Region_04,Not_Lake,39004,Non-Federal,153,Exclude,Exclude,Include2017,81147,81147,144798,Not_USFS,LakePond,153691,Three Rivers Lake,H03W,South Atlantic-West,H03160203,Lower Tombigbee,,31.29345,-87.97311,South Atlantic Gulf Region,H03,Not Mississippi River Basin,NMRB,NOT_MISSISSIPPI_BASIN,8,EASTERN TEMPERATE FORESTS,8.3,SOUTHEASTERN USA PLAINS,Three Rivers Lake,,N,Non Federal,23.48022526,149117860,AL,R03160203002249,NHDPlusHR,100,F1129,AL,NonTarget,Non-Urban,Non-Urban,Non-Urban,65,Southeastern Plains,65p,Southeastern Floodplains and Low Terraces,760608.2346,-661535.2717,Exclude,NLA22_17Over,>50,AL,AL_>50,18.9098061,10.61538462,AL_>50,0,0,,NLA,,,,,,
8/13/2024,0,NLA22_AL-10016,NLA_AL-10057,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,"(1,4]",1.063265655,Not_Border,Crenshaw,146250499,Lake/Pond: Hydrographic Category = Perennial,148,Region_04,Target_Denied,39004,Non-Federal,154,Excluded,Excluded,Include2017,572354,572354,130485,Not_USFS,LakePond,None,None,H03W,South Atlantic-West,H03140302,Patsaliga,MAN_MADE,31.88825,-86.27425,South Atlantic Gulf Region,H03,Not Mississippi River Basin,NMRB,NOT_MISSISSIPPI_BASIN,8,EASTERN TEMPERATE FORESTS,8.3,SOUTHEASTERN USA PLAINS,None,,N,Non Federal,0.462493139,146250499,AL,R03140302002425,NHDPlusHR,100,F1041,AL,Target,Non-Urban,Non-Urban,Non-Urban,65,Southeastern Plains,65d,Southern Hilly Gulf Coastal Plain,914309.5496,-580628.0846,Include,NLA22_17Over,"(1,4]",AL,"AL_(1,4]",798.4222998,297.4722222,"AL_(1,4]",0,0,,NLA,,,,,,
8/13/2024,0,NLA22_AL-10017,NLA_AL-10058,EHIGH,Eastern Highlands,SAP,Southern Appalachians,"(4,10]",9.929634409,Not_Border,Bibb,21656852,Lake/Pond: Hydrographic Category = Perennial,189,Region_04,Target_Denied,39004,Non-Federal,153,Exclude,Exclude,Include2017,77345,77345,140553,Not_USFS,LakePond,None,None,H03W,South Atlantic-West,H03150202,Cahaba,MAN_MADE,33.22774,-87.15637,South Atlantic Gulf Region,H03,Not Mississippi River Basin,NMRB,NOT_MISSISSIPPI_BASIN,8,EASTERN TEMPERATE FORESTS,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS,None,,N,Non Federal,2.654131012,90884191,AL,R03150202003022,NHDPlusHR,100,F1007,AL,Target,Non-Urban,Urban,Urban,67,Ridge and Valley,67f,Southern Limestone/Dolomite Valleys and Low Rolling Hills,817752.4549,-439994.8453,Include,NLA22_17Over,"(10,20]",AL,"AL_(10,20]",54.02838612,42.63636364,"AL_(10,20]",0,0,,NLA,,,,,,
8/13/2024,0,NLA22_AL-10018,NLA_AL-10059,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,>50,595.229697,Not_Border,Wilcox,0,Lake/Pond: Hydrographic Category = Perennial,41,Region_04,Not_Lake,39004,Federal,153,Excluded,Excluded,,0,0,135010,Not_USFS,LakePond,None,None,H03W,South Atlantic-West,H03150203,Middle Alabama,,32.06011,-87.32551,South Atlantic Gulf Region,H03,Not Mississippi River Basin,NMRB,NOT_MISSISSIPPI_BASIN,8,EASTERN TEMPERATE FORESTS,8.3,SOUTHEASTERN USA PLAINS,None,,N,USACE,0.737831053,e4348339-e79a-4ecf-a5d7-749d521ebd9b,AL,R03150203011815,NHDPlusHR,,F1131,AL,NonTarget,Non-Urban,Non-Urban,Non-Urban,65,Southeastern Plains,65d,Southern Hilly Gulf Coastal Plain,814027.496,-571129.5509,Include,NLA22_17Over,>50,AL,AL_>50,18.9098061,10.61538462,AL_>50,0,0,,NLA,,,,,,
8/13/2024,2021758,NLA22_AL-10019,NLA_AL-10060,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,"(1,4]",1.402464092,Not_Border,Houston,146711673,Lake/Pond: Hydrographic Category = Perennial,94,Region_04,Target_Sampled,39004,Non-Federal,154,Excluded,Excluded,Include2017,610205,610205,130689,Not_USFS,LakePond,None,None,H03W,South Atlantic-West,H03140201,Upper Choctawhatchee,MAN_MADE,31.22256,-85.64838,South Atlantic Gulf Region,H03,Not Mississippi River Basin,NMRB,NOT_MISSISSIPPI_BASIN,8,EASTERN TEMPERATE FORESTS,8.3,SOUTHEASTERN USA PLAINS,NONE,,N,Non Federal,0.562525809,146711673,AL,R03140201007865,NHDPlusHR,100,F1069,AL,Target,Non-Urban,Non-Urban,Non-Urban,65,Southeastern Plains,65g,Dougherty Plain,980977.7775,-648083.8986,Include,NLA22_17Over,"(1,4]",AL,"AL_(1,4]",798.4222998,297.4722222,"AL_(1,4]",1239.467593,0,,NLA,9/15/2022,YES,1,31.222423,-85.648438,2.6
8/13/2024,0,NLA22_AL-10008,NLA_AL-10062,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,"(20,50]",45.05254363,Not_Border,Perry,18207878,Lake/Pond: Hydrographic Category = Perennial,76,Region_04,Target_Denied,39004,Non-Federal,153,Exclude,Exclude,Include2017,79632,79632,144934,Not_USFS,LakePond,130820,Watershed Structure Number Twelve,H03W,South Atlantic-West,H03160113,Lower Black Warrior,,32.63630655,-87.48768735,South Atlantic Gulf Region,H03,Not Mississippi River Basin,NMRB,NOT_MISSISSIPPI_BASIN,8,EASTERN TEMPERATE FORESTS,8.3,SOUTHEASTERN USA PLAINS,Watershed Structure Number Twelve,,N,Non Federal,5.40597581,90622012,AL,R03160113002982,NHDPlusHR,100,F1105,AL,Target,Non-Urban,Non-Urban,Non-Urban,65,Southeastern Plains,65i,Fall Line Hills,793103.4702,-508526.0466,Include,NLA22_22BaseFT,"(10,50]",AL,"AL_(10,20]",346.5,29.125,"AL_(10,20]",0,0,,NLA,,,,,,
8/13/2024,2020759,NLA22_AL-10009,NLA_AL-10063,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,"(4,10]",4.841896599,Not_Border,Bibb,21659522,Lake/Pond: Hydrographic Category = Perennial,104,Region_04,Target_Sampled,39004,Non-Federal,153,Exclude,Exclude,Include2017,76931,76931,139616,Not_USFS,LakePond,None,None,H03W,South Atlantic-West,H03150202,Cahaba,MAN_MADE,32.97790161,-87.25674115,South Atlantic Gulf Region,H03,Not Mississippi River Basin,NMRB,NOT_MISSISSIPPI_BASIN,8,EASTERN TEMPERATE FORESTS,8.3,SOUTHEASTERN USA PLAINS,NONE,,N,Non Federal,1.083519565,90885593,AL,R03150202003143,NHDPlusHR,100,F1007,AL,Target,Urban,Urban,Urban,65,Southeastern Plains,65i,Fall Line Hills,811059.7187,-468622.5012,Include,NLA22_22BaseFT,"(4,10]",AL,"AL_(4,10]",1012.5,147.8571429,"AL_(4,10]",394.2857143,0,,NLA,7/11/2022,YES,1,32.978376,-87.256722,5
8/13/2024,0,NLA22_AL-10010,NLA_AL-10064,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,"(1,4]",2.81824942,Not_Border,Montgomery,21718196,Lake/Pond: Hydrographic Category = Perennial,77,Region_04,Target_Denied,39004,Non-Federal,153,Exclude,Exclude,Include2017,77476,77476,137941,Not_USFS,LakePond,130456,Belser Lake,H03W,South Atlantic-West,H03150110,Lower Tallapoosa,,32.3436194,-86.06102368,South Atlantic Gulf Region,H03,Not Mississippi River Basin,NMRB,NOT_MISSISSIPPI_BASIN,8,EASTERN TEMPERATE FORESTS,8.3,SOUTHEASTERN USA PLAINS,Belser Lake,,N,Non Federal,0.745854186,67508254,AL,R03150110003115,NHDPlusHR,100,F1101,AL,Target,Non-Urban,Urban,Urban,65,Southeastern Plains,65a,Blackland Prairie,928984.7935,-528084.8346,Include,NLA22_22BaseFT,"(1,4]",AL,"AL_(1,4]",5065,297.4722222,"AL_(1,4]",0,0,,NLA,,,,,,
8/13/2024,2020840,NLA22_AL-10011,NLA_AL-10065,EHIGH,Eastern Highlands,SAP,Southern Appalachians,"(1,4]",3.327577824,Not_Border,Shelby,21654802,Lake/Pond: Hydrographic Category = Perennial,154,Region_04,Target_Sampled,39004,Non-Federal,153,Exclude,Exclude,Include2017,78327,78327,133585,Not_USFS,LakePond,None,None,H03W,South Atlantic-West,H03150202,Cahaba,MAN_MADE,33.34403659,-86.82477581,South Atlantic Gulf Region,H03,Not Mississippi River Basin,NMRB,NOT_MISSISSIPPI_BASIN,8,EASTERN TEMPERATE FORESTS,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS,NONE,,N,Non Federal,1.4171078,90883349,AL,R03150202002911,NHDPlusHR,100,F1117,AL,Target,Urban,Urban,Urban,67,Ridge and Valley,67h,Southern Sandstone Ridges,847069.0226,-424164.1796,Include,NLA22_22BaseFT,"(1,4]",AL,"AL_(1,4]",5065,297.4722222,"AL_(1,4]",1239.467593,0,,NLA,7/14/2022,YES,1,33.34407,-86.82472,4.2
8/13/2024,0,NLA22_AL-10012,NLA_AL-10066,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,"(20,50]",32.37965154,Not_Border,Tuscaloosa,18204438,Lake/Pond: Hydrographic Category = Perennial,52,Region_04,Target_Denied,39004,Non-Federal,153,Exclude,Exclude,Include2017,78868,78868,143567,Not_USFS,LakePond,152340,Mimosa Lake,H03W,South Atlantic-West,H03160113,Lower Black Warrior,,33.15634525,-87.56811851,South Atlantic Gulf Region,H03,Not Mississippi River Basin,NMRB,NOT_MISSISSIPPI_BASIN,8,EASTERN TEMPERATE FORESTS,8.3,SOUTHEASTERN USA PLAINS,Mimosa Lake,,N,Non Federal,3.065962795,90619402,AL,R03160113002535,NHDPlusHR,100,F1125,AL,Target,Urban,Urban,Urban,65,Southeastern Plains,65i,Fall Line Hills,780487.5442,-451394.4002,Include,NLA22_22BaseFT,"(10,50]",AL,"AL_(10,20]",346.5,29.125,"AL_(10,20]",0,0,,NLA,,,,,,
8/13/2024,0,NLA22_AL-10013,NLA_AL-10067,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,"(20,50]",45.85888168,Not_Border,Mobile,18520955,Lake/Pond: Hydrographic Category = Perennial,11,Region_04,Not_Lake,39004,Non-Federal,153,Exclude,Exclude,Include2017,80203,80203,143874,Not_USFS,LakePond,117159,Dead Lake,H03W,South Atlantic-West,H03160204,Mobile-Tensaw,,30.88967066,-87.99141157,South Atlantic Gulf Region,H03,Not Mississippi River Basin,NMRB,NOT_MISSISSIPPI_BASIN,8,EASTERN TEMPERATE FORESTS,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,Dead Lake,,N,Non Federal,16.19577183,130859652,AL,R03160204001319,NHDPlusHR,100,F1097,AL,NonTarget,Non-Urban,Urban,Urban,75,Southern Coastal Plain,75i,Floodplains and Low Terraces,762658.4177,-706433.7275,Include,NLA22_22Base,"(10,50]",AL,"AL_(10,20]",346.5,29.125,"AL_(10,20]",0,0,,NLA,,,,,,
8/13/2024,2021083,NLA22_AL-10014,NLA_AL-10068,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,"(4,10]",4.689322216,Not_Border,Crenshaw,2399209,Lake/Pond: Hydrographic Category = Perennial,139,Region_04,Target_Sampled,39004,Non-Federal,154,Exclude,Exclude,Include2017,74594,74594,129614,Not_USFS,LakePond,152245,Masseys Pond,H03W,South Atlantic-West,H03140303,Sepulga,MAN_MADE,31.83563794,-86.42022068,South Atlantic Gulf Region,H03,Not Mississippi River Basin,NMRB,NOT_MISSISSIPPI_BASIN,8,EASTERN TEMPERATE FORESTS,8.3,SOUTHEASTERN USA PLAINS,MASSEYS POND,,N,Non Federal,1.457374596,146262227,AL,R03140303001315,NHDPlusHR,100,F1041,AL,Target,Non-Urban,Non-Urban,Non-Urban,65,Southeastern Plains,65d,Southern Hilly Gulf Coastal Plain,901223.6021,-587852.7035,Include,NLA22_22Base,"(4,10]",AL,"AL_(4,10]",1012.5,147.8571429,"AL_(4,10]",394.2857143,0,,NLA,7/29/2022,YES,1,31.83537,-86.42036,5
