PUBLICATION_DATE,UID,SITE_ID,DATE_COL,VISIT_NO,PSTL_CODE,MATRIX,SAM_CODE,LAB,AMMONIA_N_DATE_ANALYZED,AMMONIA_N_DILUTION_FACTOR,AMMONIA_N_HOLDING_TIME,AMMONIA_N_LAB_SAMPLE_ID,AMMONIA_N_MDL,AMMONIA_N_NARS_FLAG,AMMONIA_N_QA_FLAG,AMMONIA_N_RESULT,AMMONIA_N_RL,AMMONIA_N_UNITS,ANC_DATE_ANALYZED,ANC_HOLDING_TIME,ANC_LAB_SAMPLE_ID,ANC_MDL,ANC_NARS_FLAG,ANC_QA_FLAG,ANC_RESULT,ANC_RL,ANC_UNITS,CALCIUM_DATE_ANALYZED,CALCIUM_DILUTION_FACTOR,CALCIUM_HOLDING_TIME,CALCIUM_LAB_SAMPLE_ID,CALCIUM_MDL,CALCIUM_NARS_FLAG,CALCIUM_QA_FLAG,CALCIUM_RESULT,CALCIUM_RL,CALCIUM_UNITS,CHLA_DATE_ANALYZED,CHLA_DILUTION_FACTOR,CHLA_EXTRACT,CHLA_EXTRACT_UNITS,CHLA_HOLDING_TIME,CHLA_LAB_SAMPLE_ID,CHLA_MDL,CHLA_NARS_FLAG,CHLA_QA_FLAG,CHLA_RESULT,CHLA_RESULT_UNITS,CHLA_RL,CHLA_SAMPLE_ID,CHLA_VOLUME_ADJUST,CHLA_VOLUME_FILTERED,CHLORIDE_DATE_ANALYZED,CHLORIDE_DILUTION_FACTOR,CHLORIDE_HOLDING_TIME,CHLORIDE_LAB_SAMPLE_ID,CHLORIDE_MDL,CHLORIDE_NARS_FLAG,CHLORIDE_QA_FLAG,CHLORIDE_RESULT,CHLORIDE_RL,CHLORIDE_UNITS,COLOR_DATE_ANALYZED,COLOR_HOLDING_TIME,COLOR_LAB_SAMPLE_ID,COLOR_NARS_FLAG,COLOR_QA_FLAG,COLOR_RESULT,COLOR_UNITS,COND_DATE_ANALYZED,COND_HOLDING_TIME,COND_LAB_SAMPLE_ID,COND_MDL,COND_NARS_FLAG,COND_QA_FLAG,COND_RESULT,COND_RL,COND_UNITS,DOC_DATE_ANALYZED,DOC_DILUTION_FACTOR,DOC_HOLDING_TIME,DOC_LAB_SAMPLE_ID,DOC_MDL,DOC_NARS_FLAG,DOC_QA_FLAG,DOC_RESULT,DOC_RL,DOC_UNITS,MAGNESIUM_DATE_ANALYZED,MAGNESIUM_DILUTION_FACTOR,MAGNESIUM_HOLDING_TIME,MAGNESIUM_LAB_SAMPLE_ID,MAGNESIUM_MDL,MAGNESIUM_NARS_FLAG,MAGNESIUM_QA_FLAG,MAGNESIUM_RESULT,MAGNESIUM_RL,MAGNESIUM_UNITS,NITRATE_N_DATE_ANALYZED,NITRATE_N_DILUTION_FACTOR,NITRATE_N_HOLDING_TIME,NITRATE_N_LAB_SAMPLE_ID,NITRATE_N_MDL,NITRATE_N_NARS_FLAG,NITRATE_N_QA_FLAG,NITRATE_N_RESULT,NITRATE_N_RL,NITRATE_N_UNITS,NITRATE_NITRITE_N_DATE_ANALYZED,NITRATE_NITRITE_N_HOLDING_TIME,NITRATE_NITRITE_N_LAB_SAMPLE_ID,NITRATE_NITRITE_N_MDL,NITRATE_NITRITE_N_NARS_FLAG,NITRATE_NITRITE_N_RESULT,NITRATE_NITRITE_N_RL,NITRATE_NITRITE_N_UNITS,NITRITE_N_DATE_ANALYZED,NITRITE_N_DILUTION_FACTOR,NITRITE_N_HOLDING_TIME,NITRITE_N_LAB_SAMPLE_ID,NITRITE_N_MDL,NITRITE_N_NARS_FLAG,NITRITE_N_QA_FLAG,NITRITE_N_RESULT,NITRITE_N_RL,NITRITE_N_UNITS,NTL_DATE_ANALYZED,NTL_DISS_DATE_ANALYZED,NTL_DISS_HOLDING_TIME,NTL_DISS_LAB_SAMPLE_ID,NTL_DISS_MDL,NTL_DISS_NARS_FLAG,NTL_DISS_QA_FLAG,NTL_DISS_RESULT,NTL_DISS_RL,NTL_DISS_UNITS,NTL_HOLDING_TIME,NTL_LAB_SAMPLE_ID,NTL_MDL,NTL_NARS_FLAG,NTL_QA_FLAG,NTL_RESULT,NTL_RL,NTL_UNITS,PH_DATE_ANALYZED,PH_HOLDING_TIME,PH_LAB_SAMPLE_ID,PH_NARS_FLAG,PH_QA_FLAG,PH_RESULT,PH_UNITS,POTASSIUM_DATE_ANALYZED,POTASSIUM_DILUTION_FACTOR,POTASSIUM_HOLDING_TIME,POTASSIUM_LAB_SAMPLE_ID,POTASSIUM_MDL,POTASSIUM_NARS_FLAG,POTASSIUM_QA_FLAG,POTASSIUM_RESULT,POTASSIUM_RL,POTASSIUM_UNITS,PTL_DATE_ANALYZED,PTL_DISS_DATE_ANALYZED,PTL_DISS_HOLDING_TIME,PTL_DISS_LAB_SAMPLE_ID,PTL_DISS_MDL,PTL_DISS_NARS_COMMENT,PTL_DISS_NARS_FLAG,PTL_DISS_QA_FLAG,PTL_DISS_RESULT,PTL_DISS_RL,PTL_DISS_UNITS,PTL_HOLDING_TIME,PTL_LAB_SAMPLE_ID,PTL_MDL,PTL_NARS_FLAG,PTL_QA_FLAG,PTL_RESULT,PTL_RL,PTL_UNITS,SILICA_DATE_ANALYZED,SILICA_HOLDING_TIME,SILICA_LAB_SAMPLE_ID,SILICA_MDL,SILICA_NARS_FLAG,SILICA_QA_FLAG,SILICA_RESULT,SILICA_RL,SILICA_UNITS,SODIUM_DATE_ANALYZED,SODIUM_DILUTION_FACTOR,SODIUM_HOLDING_TIME,SODIUM_LAB_SAMPLE_ID,SODIUM_MDL,SODIUM_NARS_FLAG,SODIUM_QA_FLAG,SODIUM_RESULT,SODIUM_RL,SODIUM_UNITS,SULFATE_DATE_ANALYZED,SULFATE_DILUTION_FACTOR,SULFATE_HOLDING_TIME,SULFATE_LAB_SAMPLE_ID,SULFATE_MDL,SULFATE_NARS_FLAG,SULFATE_QA_FLAG,SULFATE_RESULT,SULFATE_RL,SULFATE_UNITS,TURB_DATE_ANALYZED,TURB_HOLDING_TIME,TURB_LAB_SAMPLE_ID,TURB_MDL,TURB_NARS_FLAG,TURB_QA_FLAG,TURB_RESULT,TURB_RL,TURB_UNITS,UNIQUE_ID
8/13/2024,2020584,NLA22_IN-10145,7/12/2022,1,IN,WATER,REGULAR,WRS,7/18/2022,1,6,2210432,0.0005,,,0.008,0.004,mg N/L,7/21/2022,9,2210432,,,H,1590,,UEQ/L,12/18/2022,1,159,2210432,0.011,,,23.8,0.05,mg/L,7/19/2022,,315,ug/L,7,2210432,0.18,,,25.2,ug/L,1,212721,,500,7/15/2022,1,3,2210432,0.004,,,5.25,0.06,mg/L,7/13/2022,1,2210432,,,2,APHA PT-CO,7/13/2022,1,2210432,1,,,219,2,uS/cm AT 25 C,7/22/2022,1,10,2210432,0.024,,,5.38,0.2,mg/L,12/18/2022,1,159,2210432,0.003,,,9.75,0.02,mg/L,7/15/2022,1,3,2210432,0.0006,ND,MDL,,0.02,mg N/L,,,,,,,,,7/15/2022,1,3,2210432,0.0006,ND,MDL,,0.02,mg N/L,7/28/2022,7/27/2022,15,2210432,0.002,,,0.43,0.02,mg/L,16,2210432,0.002,,,0.726,0.02,mg/L,7/13/2022,1,2210432,,,9.27,Std. Units,12/18/2022,1,159,2210432,0.018,,,2.02,0.1,mg/L,7/28/2022,7/27/2022,15,2210432,0.48,,,,13.2,4,ug/L,16,2210432,0.48,,,41.5,4,ug/L,7/15/2022,3,2210432,0.0012,,,6.39,0.01,mg/L,12/18/2022,1,159,2210432,0.009,,,5.11,0.1,mg/L,7/15/2022,1,3,2210432,0.002,,,22.9,0.18,mg/L,7/13/2022,1,2210432,,,,4.63,2,NTU,NLA_IN-10291
8/13/2024,2020585,NLA22_IN-10004,8/10/2022,1,IN,WATER,REGULAR,WRS,8/23/2022,1,13,2210837,0.0005,,,0.006,0.004,mg N/L,8/12/2022,2,2210837,,,,4070,,UEQ/L,1/20/2023,2,163,2210837,0.011,,,90.1,0.05,mg/L,8/24/2022,,166,ug/L,14,2210837,0.18,,,13.3,ug/L,1,208621,,500,8/15/2022,5,5,2210837,0.004,,,4.1,0.06,mg/L,8/12/2022,2,2210837,,,8,APHA PT-CO,8/12/2022,2,2210837,1,,,906,2,uS/cm AT 25 C,8/24/2022,1,14,2210837,0.024,,,3.36,0.2,mg/L,1/20/2023,2,163,2210837,0.003,,,54.8,0.02,mg/L,8/15/2022,5,5,2210837,0.0006,ND,MDL,,0.02,mg N/L,,,,,,,,,8/15/2022,5,5,2210837,0.0006,ND,MDL,,0.02,mg N/L,9/2/2022,9/1/2022,22,2210837,0.002,,,0.274,0.02,mg/L,23,2210837,0.002,,,0.434,0.02,mg/L,8/12/2022,2,2210837,,,8.1,Std. Units,1/20/2023,2,163,2210837,0.018,,,3.43,0.1,mg/L,9/2/2022,9/1/2022,22,2210837,0.48,,,,12.7,4,ug/L,23,2210837,0.48,,,23.8,4,ug/L,8/15/2022,5,2210837,0.0012,,,9.42,0.01,mg/L,1/20/2023,2,163,2210837,0.009,,,17.2,0.1,mg/L,8/15/2022,5,5,2210837,0.002,,,288,0.18,mg/L,8/12/2022,2,2210837,,,,2.34,2,NTU,NLA_IN-10153
8/13/2024,2020586,NLA22_IN-10031,9/26/2022,1,IN,WATER,REGULAR,WRS,10/14/2022,1,18,2211174,0.0005,,,0.105,0.004,mg N/L,10/25/2022,29,2211174,,,H,-1260,,UEQ/L,1/20/2023,5,116,2211174,0.011,,,248,0.05,mg/L,10/13/2022,,154,ug/L,17,2211174,0.18,,,6.16,ug/L,1,213081,,1000,9/30/2022,10,4,2211174,0.004,,,2.68,0.06,mg/L,9/28/2022,2,2211174,,,5,APHA PT-CO,9/29/2022,3,2211174,1,,,2280,2,uS/cm AT 25 C,10/4/2022,1,8,2211174,0.024,,,0.72,0.2,mg/L,1/20/2023,5,116,2211174,0.003,,,133,0.02,mg/L,9/30/2022,10,4,2211174,0.0006,ND,MDL,,0.02,mg N/L,,,,,,,,,9/30/2022,10,4,2211174,0.0006,ND,MDL,,0.02,mg N/L,10/13/2022,10/13/2022,17,2211174,0.002,,,0.074,0.02,mg/L,17,2211174,0.002,,,0.125,0.02,mg/L,9/29/2022,3,2211174,,,3.09,Std. Units,1/20/2023,5,116,2211174,0.018,,,2.91,0.1,mg/L,10/13/2022,10/13/2022,17,2211174,0.48,,,,16.4,4,ug/L,17,2211174,0.48,,,17,4,ug/L,9/30/2022,4,2211174,0.0012,,,14.85,0.01,mg/L,1/20/2023,5,116,2211174,0.009,,,11.7,0.1,mg/L,9/30/2022,10,4,2211174,0.002,,,1350,0.18,mg/L,9/29/2022,3,2211174,,,LRL,1.16,2,NTU,NLA_IN-10169
8/13/2024,2020587,NLA22_TX-10030,6/23/2022,1,TX,WATER,REGULAR,WRS,6/27/2022,1,4,2210247,0.0005,,,0.008,0.004,mg N/L,6/24/2022,1,2210247,,,,1900,,UEQ/L,11/10/2022,1,140,2210247,0.011,,,33.2,0.05,mg/L,6/30/2022,,396,ug/L,7,2210247,0.18,,,31.7,ug/L,1,206681,,500,6/27/2022,1,4,2210247,0.004,,,17,0.06,mg/L,6/24/2022,1,2210247,,,5,APHA PT-CO,6/24/2022,1,2210247,1,,,300,2,uS/cm AT 25 C,6/30/2022,1,7,2210247,0.024,,,4.42,0.2,mg/L,11/10/2022,1,140,2210247,0.003,,,5.42,0.02,mg/L,6/27/2022,1,4,2210247,0.0006,ND,MDL,,0.02,mg N/L,,,,,,,,,6/27/2022,1,4,2210247,0.0006,ND,MDL,,0.02,mg N/L,7/8/2022,7/7/2022,14,2210247,0.002,,,0.451,0.02,mg/L,15,2210247,0.002,,,0.73,0.02,mg/L,6/24/2022,1,2210247,,,8.37,Std. Units,11/10/2022,1,140,2210247,0.018,,,4.5,0.1,mg/L,7/8/2022,7/7/2022,14,2210247,0.48,,,,17.3,4,ug/L,15,2210247,0.48,,,43.6,4,ug/L,6/28/2022,5,2210247,0.0012,,,11,0.01,mg/L,11/10/2022,1,140,2210247,0.009,,,16.9,0.1,mg/L,6/27/2022,1,4,2210247,0.002,,,20.9,0.18,mg/L,6/24/2022,1,2210247,,,,4.54,2,NTU,NLA_TX-10324
8/13/2024,2020588,NLA22_LA-10386,6/23/2022,1,LA,WATER,REGULAR,WRS,7/6/2022,1,13,2210276,0.0005,S,,0.005,0.004,mg N/L,6/27/2022,4,2210276,,S,,401,,UEQ/L,11/10/2022,1,140,2210276,0.011,S,,4.36,0.05,mg/L,6/30/2022,,110,ug/L,7,2210276,0.18,S,,29.3,ug/L,1,219261,,150,6/28/2022,1,5,2210276,0.004,S,,7.33,0.06,mg/L,6/27/2022,4,2210276,S;H,H,5,APHA PT-CO,6/27/2022,4,2210276,1,S,,73.6,2,uS/cm AT 25 C,7/1/2022,1,8,2210276,0.024,S,,3.72,0.2,mg/L,11/10/2022,1,140,2210276,0.003,S,,1.56,0.02,mg/L,6/28/2022,1,5,2210276,0.0006,S;ND,MDL,,0.02,mg N/L,,,,,,,,,6/28/2022,1,5,2210276,0.0006,S;ND,MDL,,0.02,mg N/L,7/8/2022,7/7/2022,14,2210276,0.002,S,,0.296,0.02,mg/L,15,2210276,0.002,S,,0.606,0.02,mg/L,6/27/2022,4,2210276,S;H,H,7.78,Std. Units,11/10/2022,1,140,2210276,0.018,S,,1.48,0.1,mg/L,7/8/2022,7/7/2022,14,2210276,0.48,,S,,9.9,4,ug/L,15,2210276,0.48,S,,59,4,ug/L,6/28/2022,5,2210276,0.0012,S,,5.61,0.01,mg/L,11/10/2022,1,140,2210276,0.009,S,,6.5,0.1,mg/L,6/28/2022,1,5,2210276,0.002,S,,1.49,0.18,mg/L,6/28/2022,5,2210276,,S;H,H,10.7,2,NTU,NLA_LA-10522
8/13/2024,2020589,NLA22_NY-10051,6/23/2022,1,NY,WATER,REGULAR,WRS,7/6/2022,1,13,2210277,0.0005,S,,0.013,0.004,mg N/L,6/27/2022,4,2210277,,S,,129,,UEQ/L,11/10/2022,1,140,2210277,0.011,S,,2.3,0.05,mg/L,6/30/2022,,24.8,ug/L,7,2210277,0.18,S,,1.42,ug/L,1,209221,,700,6/28/2022,1,5,2210277,0.004,S,,0.763,0.06,mg/L,6/27/2022,4,2210277,S;H,H,5,APHA PT-CO,6/27/2022,4,2210277,1,S,,22.5,2,uS/cm AT 25 C,7/1/2022,1,8,2210277,0.024,S,,2.39,0.2,mg/L,11/10/2022,1,140,2210277,0.003,S,,0.67,0.02,mg/L,6/28/2022,1,5,2210277,0.0006,S;L,EST,0.0027,0.02,mg N/L,,,,,,,,,6/28/2022,1,5,2210277,0.0006,S;ND,MDL,,0.02,mg N/L,7/8/2022,7/7/2022,14,2210277,0.002,S,,0.184,0.02,mg/L,15,2210277,0.002,S,,0.288,0.02,mg/L,6/27/2022,4,2210277,S;H,H,7.11,Std. Units,11/10/2022,1,140,2210277,0.018,S,,0.26,0.1,mg/L,7/8/2022,7/7/2022,14,2210277,0.48,,S;L,EST,2.2,4,ug/L,15,2210277,0.48,S,,12.7,4,ug/L,6/28/2022,5,2210277,0.0012,S,,0.167,0.01,mg/L,11/10/2022,1,140,2210277,0.009,S,,0.77,0.1,mg/L,6/28/2022,1,5,2210277,0.002,S,,2.09,0.18,mg/L,6/28/2022,5,2210277,,S;H; L,H; LRL,0.5,2,NTU,NLA_NY-10087
8/13/2024,2020591,NLA22_ME-10004,6/23/2022,1,ME,WATER,REGULAR,WRS,7/6/2022,1,13,2210261,0.0005,,,0.007,0.004,mg N/L,6/25/2022,2,2210261,,,,69.3,,UEQ/L,11/10/2022,1,140,2210261,0.011,,,2.05,0.05,mg/L,6/30/2022,,19.5,ug/L,7,2210261,0.18,,,2.6,ug/L,1,205021,,300,6/28/2022,1,5,2210261,0.004,,,0.145,0.06,mg/L,6/25/2022,2,2210261,,,55,APHA PT-CO,6/25/2022,2,2210261,1,,,16,2,uS/cm AT 25 C,7/1/2022,1,8,2210261,0.024,,,10.2,0.2,mg/L,11/10/2022,1,140,2210261,0.003,,,0.58,0.02,mg/L,6/28/2022,1,5,2210261,0.0006,,EST,0.0035,0.02,mg N/L,,,,,,,,,6/28/2022,1,5,2210261,0.0006,ND,MDL,,0.02,mg N/L,7/8/2022,7/7/2022,14,2210261,0.002,,,0.368,0.02,mg/L,15,2210261,0.002,,,0.529,0.02,mg/L,6/25/2022,2,2210261,,,6.57,Std. Units,11/10/2022,1,140,2210261,0.018,,EST,0.09,0.1,mg/L,7/8/2022,7/7/2022,14,2210261,0.48,,,,4,4,ug/L,15,2210261,0.48,,,16,4,ug/L,6/28/2022,5,2210261,0.0012,,,0.513,0.01,mg/L,11/10/2022,1,140,2210261,0.009,,,0.46,0.1,mg/L,6/28/2022,1,5,2210261,0.002,,,1.49,0.18,mg/L,6/25/2022,2,2210261,,,LRL,1.44,2,NTU,NLA_ME-10070
8/13/2024,2020592,NLA22_UT-10018,6/23/2022,1,UT,WATER,REGULAR,WRS,7/6/2022,1,13,2210263,0.0005,,EST,0.004,0.004,mg N/L,6/25/2022,2,2210263,,,,124,,UEQ/L,11/10/2022,1,140,2210263,0.011,,,2.62,0.05,mg/L,6/30/2022,,20.5,ug/L,7,2210263,0.18,,,1.37,ug/L,1,202641,,600,6/28/2022,1,5,2210263,0.004,,,0.866,0.06,mg/L,6/25/2022,2,2210263,,,20,APHA PT-CO,6/25/2022,2,2210263,1,,,21.9,2,uS/cm AT 25 C,7/1/2022,1,8,2210263,0.024,,,5.13,0.2,mg/L,11/10/2022,1,140,2210263,0.003,,,0.55,0.02,mg/L,6/28/2022,1,5,2210263,0.0006,,EST,0.0026,0.02,mg N/L,,,,,,,,,6/28/2022,1,5,2210263,0.0006,ND,MDL,,0.02,mg N/L,7/8/2022,7/7/2022,14,2210263,0.002,,,0.139,0.02,mg/L,15,2210263,0.002,,,0.178,0.02,mg/L,6/25/2022,2,2210263,,,7.11,Std. Units,11/10/2022,1,140,2210263,0.018,,,0.35,0.1,mg/L,7/8/2022,7/7/2022,14,2210263,0.48,,,EST,3.7,4,ug/L,15,2210263,0.48,,,11.8,4,ug/L,6/28/2022,5,2210263,0.0012,,,1.25,0.01,mg/L,11/10/2022,1,140,2210263,0.009,,,0.71,0.1,mg/L,6/28/2022,1,5,2210263,0.002,,,1.03,0.18,mg/L,6/25/2022,2,2210263,,,,2.46,2,NTU,NLA_UT-10349
8/13/2024,2020593,NLA22_WI-10028,6/22/2022,1,WI,WATER,REGULAR,WSLOH,6/27/2022,,5,627066001,0.012,ND,,,0.039,mg N/L,7/5/2022,13,627066002,10,,,43,,ueq/L,7/20/2022,,28,627066001,0.3,,,1.2,0.9,mg/L,7/1/2022,,26,ug/L,9,627066002,0.456,Q,,2.11,ug/L,1.53,,,114,7/1/2022,,9,627066001,0.31,,,12.4,1,mg/L,6/27/2022,5,627066001,H,,100,APHA PT-CO,,,,,NR,,,,,7/6/2022,,14,627066001,0.4,,,13,1.3,mg/L,7/20/2022,,28,627066001,0.2,L,,0.493,0.6,mg/L,6/29/2022,,7,627066001,0.016,ND,,,0.05,mg N/L,6/27/2022,5,627066001,0.055,ND,,0.184,mg N/L,,,,,,,,,,,7/13/2022,7/13/2022,21,627066001,0.058,,,0.732,0.192,mg/L,21,627066002,0.058,,,0.831,0.192,mg N/L,,,,NR,,,,7/20/2022,,28,627066001,0.2,,,1.27,0.6,mg/L,7/5/2022,7/11/2022,19,627066001,9,,L,,18.5,30,ug/L,13,627066002,1.9,,,28.6,6,ug/L,7/6/2022,14,627066001,0.097,L,,0.211,0.32,mg/L,7/20/2022,,28,627066001,0.3,,,8.61,0.9,mg/L,6/29/2022,,7,627066001,0.16,ND,,,0.5,mg/L,6/28/2022,6,627066002,0.1,H,,1.45,0.1,NTU,NLA_WI-10138
8/13/2024,2020594,NLA22_OH-10004,6/23/2022,1,OH,WATER,REGULAR,WRS,7/6/2022,1,13,2210262,0.0005,,,0.009,0.004,mg N/L,6/25/2022,2,2210262,,,,1850,,UEQ/L,11/10/2022,1,140,2210262,0.011,,,37.5,0.05,mg/L,6/30/2022,,360,ug/L,7,2210262,0.18,,,57.6,ug/L,1,210101,,250,6/28/2022,5,5,2210262,0.004,,,146,0.06,mg/L,6/25/2022,2,2210262,,,21,APHA PT-CO,6/25/2022,2,2210262,1,,,704,2,uS/cm AT 25 C,7/13/2022,2,20,2210262,0.024,,,5.95,0.2,mg/L,11/10/2022,1,140,2210262,0.003,,,7.13,0.02,mg/L,6/28/2022,5,5,2210262,0.0006,,EST,0.0137,0.02,mg N/L,,,,,,,,,6/28/2022,5,5,2210262,0.0006,ND,MDL,,0.02,mg N/L,7/8/2022,7/7/2022,14,2210262,0.002,,,0.526,0.02,mg/L,15,2210262,0.002,,,1.53,0.02,mg/L,6/25/2022,2,2210262,,,8.17,Std. Units,11/10/2022,1,140,2210262,0.018,,,1.81,0.1,mg/L,7/8/2022,7/7/2022,14,2210262,0.48,,,,16.7,4,ug/L,15,2210262,0.48,,,133,4,ug/L,6/28/2022,5,2210262,0.0012,,,2.19,0.01,mg/L,11/10/2022,1,140,2210262,0.009,,,95.1,0.1,mg/L,6/28/2022,5,5,2210262,0.002,,,11,0.18,mg/L,6/25/2022,2,2210262,,,,12.5,2,NTU,NLA_OH-10068
8/13/2024,2020595,NLA22_NE-10031,6/23/2022,1,NE,WATER,REGULAR,WRS,7/6/2022,1,13,2210272,0.0005,,,0.044,0.004,mg N/L,6/25/2022,2,2210272,,,,2980,,UEQ/L,11/10/2022,1,140,2210272,0.011,,,51.7,0.05,mg/L,6/30/2022,9,1557,ug/L,7,2210272,0.18,,,249,ug/L,1,206461,,250,6/28/2022,2,5,2210272,0.004,,,3.02,0.06,mg/L,6/25/2022,2,2210272,,,45,APHA PT-CO,6/25/2022,2,2210272,1,,,467,2,uS/cm AT 25 C,7/1/2022,1,8,2210272,0.024,,,14.7,0.2,mg/L,11/10/2022,1,140,2210272,0.003,,,11.6,0.02,mg/L,6/28/2022,2,5,2210272,0.0006,,EST,0.0092,0.02,mg N/L,,,,,,,,,6/28/2022,2,5,2210272,0.0006,,EST,0.005,0.02,mg N/L,7/14/2022,7/7/2022,14,2210272,0.002,,,1.6,0.02,mg/L,21,2210272,0.002,,,3.42,0.02,mg/L,6/25/2022,2,2210272,,,9.73,Std. Units,11/10/2022,1,140,2210272,0.018,,,11.9,0.1,mg/L,7/14/2022,7/7/2022,14,2210272,0.48,,,,278,4,ug/L,21,2210272,0.48,,,477,4,ug/L,6/28/2022,5,2210272,0.0012,,,11.6,0.01,mg/L,11/10/2022,1,140,2210272,0.009,,,33.1,0.1,mg/L,6/28/2022,2,5,2210272,0.002,,,86.3,0.18,mg/L,6/25/2022,2,2210272,,,,48.2,2,NTU,NLA_NE-10178
8/13/2024,2020596,NLA22_DE-10018,6/23/2022,1,DE,WATER,REGULAR,WRS,7/6/2022,1,13,2210269,0.0005,,,0.028,0.004,mg N/L,6/25/2022,2,2210269,,,,582,,UEQ/L,11/10/2022,1,140,2210269,0.011,,,14.9,0.05,mg/L,6/30/2022,,330,ug/L,7,2210269,0.18,,,132,ug/L,1,216841,,100,6/28/2022,1,5,2210269,0.004,,,15,0.06,mg/L,6/25/2022,2,2210269,,,42,APHA PT-CO,6/25/2022,2,2210269,1,,,179,2,uS/cm AT 25 C,7/1/2022,1,8,2210269,0.024,,,6.21,0.2,mg/L,11/10/2022,1,140,2210269,0.003,,,5.71,0.02,mg/L,6/28/2022,1,5,2210269,0.0006,,,0.711,0.02,mg N/L,,,,,,,,,6/28/2022,1,5,2210269,0.0006,ND,MDL,,0.02,mg N/L,7/8/2022,7/7/2022,14,2210269,0.002,,,1.41,0.02,mg/L,15,2210269,0.002,,,2.44,0.02,mg/L,6/25/2022,2,2210269,,,8.3,Std. Units,11/10/2022,1,140,2210269,0.018,,,3.18,0.1,mg/L,7/8/2022,7/7/2022,14,2210269,0.48,,,,40.1,4,ug/L,15,2210269,0.48,,,131,4,ug/L,6/28/2022,5,2210269,0.0012,,,15.8,0.01,mg/L,11/10/2022,1,140,2210269,0.009,,,8.35,0.1,mg/L,6/28/2022,1,5,2210269,0.002,,,22,0.18,mg/L,6/25/2022,2,2210269,,,,16,2,NTU,NLA_DE-10051
8/13/2024,2020597,NLA22_NV-10025,6/23/2022,2,NV,WATER,REGULAR,WRS,7/6/2022,1,13,2210289,0.0005,S,,0.104,0.004,mg N/L,6/28/2022,5,2210289,,S,,2370,,UEQ/L,11/10/2022,1,140,2210289,0.011,S,,29,0.05,mg/L,6/30/2022,,150,ug/L,7,2210289,0.18,S,,12,ug/L,1,210581,,500,6/28/2022,1,5,2210289,0.004,S,,7.68,0.06,mg/L,6/28/2022,5,2210289,S;H,H,31,APHA PT-CO,6/28/2022,5,2210289,1,S,,287,2,uS/cm AT 25 C,7/1/2022,1,8,2210289,0.024,S,,5.57,0.2,mg/L,11/10/2022,1,140,2210289,0.003,S,,11.4,0.02,mg/L,6/28/2022,1,5,2210289,0.0006,S,,0.0213,0.02,mg N/L,,,,,,,,,6/28/2022,1,5,2210289,0.0006,S;L,EST,0.002,0.02,mg N/L,7/8/2022,7/7/2022,14,2210289,0.002,S,,0.673,0.02,mg/L,15,2210289,0.002,S,,0.659,0.02,mg/L,6/28/2022,5,2210289,S;H,H,8.24,Std. Units,11/10/2022,1,140,2210289,0.018,S,,3.44,0.1,mg/L,7/8/2022,7/7/2022,14,2210289,0.48,,S,,142,4,ug/L,15,2210289,0.48,S,,156,4,ug/L,7/1/2022,8,2210289,0.0012,S;H,H,28.1,0.01,mg/L,11/10/2022,1,140,2210289,0.009,S,,15.3,0.1,mg/L,6/28/2022,1,5,2210289,0.002,S,,9.83,0.18,mg/L,6/28/2022,5,2210289,,S;H; L,H; LRL,0.49,2,NTU,NLA_NV-10178
8/13/2024,2020598,NLA22_NV-10068,6/22/2022,2,NV,WATER,REGULAR,WRS,7/6/2022,1,14,2210286,0.0005,S,,0.103,0.004,mg N/L,6/28/2022,6,2210286,,S,,1680,,UEQ/L,11/10/2022,1,141,2210286,0.011,S,,13.1,0.05,mg/L,6/30/2022,,22.3,ug/L,8,2210286,0.18,S,,3.57,ug/L,1,210601,,250,6/28/2022,1,6,2210286,0.004,S,,12.3,0.06,mg/L,6/28/2022,6,2210286,S;H,H,18,APHA PT-CO,6/28/2022,6,2210286,1,S,,245,2,uS/cm AT 25 C,7/1/2022,1,9,2210286,0.024,S,,7.05,0.2,mg/L,11/10/2022,1,141,2210286,0.003,S,,4.42,0.02,mg/L,6/28/2022,1,6,2210286,0.0006,S,,0.0842,0.02,mg N/L,,,,,,,,,6/28/2022,1,6,2210286,0.0006,S;L,EST,0.005,0.02,mg N/L,7/8/2022,7/7/2022,15,2210286,0.002,S,,0.85,0.02,mg/L,16,2210286,0.002,S,,1.35,0.02,mg/L,6/28/2022,6,2210286,S;H,H,8.11,Std. Units,11/10/2022,1,141,2210286,0.018,S,,6.5,0.1,mg/L,7/8/2022,7/7/2022,15,2210286,0.48,,S,,35.5,4,ug/L,16,2210286,0.48,S,,163,4,ug/L,7/1/2022,9,2210286,0.0012,S;H,H,13.5,0.01,mg/L,11/10/2022,1,141,2210286,0.009,S,,30.9,0.1,mg/L,6/28/2022,1,6,2210286,0.002,S,,9.02,0.18,mg/L,6/28/2022,6,2210286,,S;H,H,42.1,2,NTU,NLA_NV-10218
