UID,SITE_ID,VISIT_NO,DEPTH,TEMPERATURE,OXYGEN,PH,CONDUCTIVITY,INDEX_SITE_DEPTH,AREA_HA,LAT_DD83,LON_DD83
2010183,NLA17_AZ-10004,1,0.1,19.9,7.3,8.4,436,4.3,119.1798,34.60431,-112.4386
2010183,NLA17_AZ-10004,1,1,19.8,7.3,8.5,436,4.3,119.1798,34.60431,-112.4386
2010183,NLA17_AZ-10004,1,2,19.8,7.3,8.5,436,4.3,119.1798,34.60431,-112.4386
2010183,NLA17_AZ-10004,1,3,19.8,7.2,8.5,436,4.3,119.1798,34.60431,-112.4386
2010183,NLA17_AZ-10004,1,4,18.3,4.8,8.1,431,4.3,119.1798,34.60431,-112.4386
2010183,NLA17_AZ-10004,1,3.8,18.9,7.1,8.3,432,4.3,119.1798,34.60431,-112.4386
2010183,NLA17_AZ-10004,1,0.1,NA,7.3,NA,NA,4.3,119.1798,34.60431,-112.4386
2010184,NLA17_MI-10011,1,0.5,23.8,10.4,8.3,264,3.4,20.79842,43.37318,-86.14407
2010184,NLA17_MI-10011,1,1,23.7,10.5,8.4,264,3.4,20.79842,43.37318,-86.14407
2010184,NLA17_MI-10011,1,2,22.8,11.87,8.4,257,3.4,20.79842,43.37318,-86.14407
2010184,NLA17_MI-10011,1,2.9,22.1,12.6,8.21,247,3.4,20.79842,43.37318,-86.14407
2010184,NLA17_MI-10011,1,0.5,23.8,10.5,8.3,264,3.4,20.79842,43.37318,-86.14407
2010185,NLA17_ND-10015,1,0,20.8,10.1,8.81,673,3.2,7.124819,47.08001,-99.73059
2010185,NLA17_ND-10015,1,0.5,20.8,10.1,8.81,674,3.2,7.124819,47.08001,-99.73059
2010185,NLA17_ND-10015,1,1,20.8,10.1,8.82,673,3.2,7.124819,47.08001,-99.73059
2010185,NLA17_ND-10015,1,1.5,20.8,10.1,8.83,674,3.2,7.124819,47.08001,-99.73059
2010185,NLA17_ND-10015,1,2,20.1,9.1,8.78,677,3.2,7.124819,47.08001,-99.73059
2010185,NLA17_ND-10015,1,2.5,18.2,0.2,8.45,694,3.2,7.124819,47.08001,-99.73059
2010185,NLA17_ND-10015,1,2.7,17.9,0,7.79,741,3.2,7.124819,47.08001,-99.73059
2010186,NLA17_CA-10064,1,0.1,21.81,7.22,7.96,NA,3.4,40.65087,38.08325,-122.5184
2010186,NLA17_CA-10064,1,1,21.8,7.22,7.97,NA,3.4,40.65087,38.08325,-122.5184
2010186,NLA17_CA-10064,1,2,21.39,6.61,7.95,NA,3.4,40.65087,38.08325,-122.5184
2010186,NLA17_CA-10064,1,3,21.27,6.46,7.91,NA,3.4,40.65087,38.08325,-122.5184
2010187,NLA17_KY-10001,1,0,24.7,8.15,7.05,33.5,26.5,90.55715,36.68168,-83.70503
2010187,NLA17_KY-10001,1,1,24.6,8.16,7.04,33.5,26.5,90.55715,36.68168,-83.70503
2010187,NLA17_KY-10001,1,10,7.2,7.08,6.02,35.9,26.5,90.55715,36.68168,-83.70503
2010187,NLA17_KY-10001,1,11,6.9,6.47,5.92,36.2,26.5,90.55715,36.68168,-83.70503
2010187,NLA17_KY-10001,1,12,6.6,5.91,5.85,36.4,26.5,90.55715,36.68168,-83.70503
2010187,NLA17_KY-10001,1,13,6.4,5.49,5.79,36.6,26.5,90.55715,36.68168,-83.70503
2010187,NLA17_KY-10001,1,14,6.3,5.02,5.76,37,26.5,90.55715,36.68168,-83.70503
2010187,NLA17_KY-10001,1,15,6.2,4.63,5.74,37,26.5,90.55715,36.68168,-83.70503
2010187,NLA17_KY-10001,1,16,6.1,4.27,5.71,37.3,26.5,90.55715,36.68168,-83.70503
2010187,NLA17_KY-10001,1,17,6.1,4.21,5.7,37.2,26.5,90.55715,36.68168,-83.70503
2010187,NLA17_KY-10001,1,18,6.1,3.97,5.7,37.5,26.5,90.55715,36.68168,-83.70503
2010187,NLA17_KY-10001,1,19,6.1,3.66,5.66,38,26.5,90.55715,36.68168,-83.70503
2010187,NLA17_KY-10001,1,2,24.5,8.16,7.02,33.5,26.5,90.55715,36.68168,-83.70503
2010187,NLA17_KY-10001,1,20,6.1,3.32,5.6,38.8,26.5,90.55715,36.68168,-83.70503
2010187,NLA17_KY-10001,1,22,6.1,2.58,5.66,39.9,26.5,90.55715,36.68168,-83.70503
2010187,NLA17_KY-10001,1,24,6.1,1.69,5.68,42.7,26.5,90.55715,36.68168,-83.70503
2010187,NLA17_KY-10001,1,26,6.1,0.37,5.87,54,26.5,90.55715,36.68168,-83.70503
2010187,NLA17_KY-10001,1,0,24.9,8.03,7.16,33.6,26.5,90.55715,36.68168,-83.70503
2010187,NLA17_KY-10001,1,3,22.6,8.71,6.86,33.8,26.5,90.55715,36.68168,-83.70503
2010187,NLA17_KY-10001,1,4,17.9,10.57,6.86,33,26.5,90.55715,36.68168,-83.70503
2010187,NLA17_KY-10001,1,5,13.4,11.19,6.82,34,26.5,90.55715,36.68168,-83.70503
2010187,NLA17_KY-10001,1,6,10.8,10.29,6.61,34.6,26.5,90.55715,36.68168,-83.70503
2010187,NLA17_KY-10001,1,7,9.5,9.41,6.41,34.9,26.5,90.55715,36.68168,-83.70503
2010187,NLA17_KY-10001,1,8,8.3,8.52,6.24,35.2,26.5,90.55715,36.68168,-83.70503
2010187,NLA17_KY-10001,1,9,7.8,7.74,6.11,35.5,26.5,90.55715,36.68168,-83.70503
2010188,NLA17_ND-10008,1,0,20,8.3,8.89,2358,2.7,198.355,47.27222,-100.3903
2010188,NLA17_ND-10008,1,0.5,20,8.3,8.89,2358,2.7,198.355,47.27222,-100.3903
2010188,NLA17_ND-10008,1,1,20,8.3,8.88,2358,2.7,198.355,47.27222,-100.3903
2010188,NLA17_ND-10008,1,1.5,20,8.3,8.88,2358,2.7,198.355,47.27222,-100.3903
2010188,NLA17_ND-10008,1,2,20,8.3,8.88,2358,2.7,198.355,47.27222,-100.3903
2010188,NLA17_ND-10008,1,2.2,20,8.2,8.88,2358,2.7,198.355,47.27222,-100.3903
2010189,NLA17_TX-10001,1,0.044,24.7,6.273726,7.9,240,2.8,13.83962,32.94443,-96.45375
2010189,NLA17_TX-10001,1,0.989,24.6,6.120035,7.9,240,2.8,13.83962,32.94443,-96.45375
2010189,NLA17_TX-10001,1,1.98,24.2,4.571041,7.75,210,2.8,13.83962,32.94443,-96.45375
2010189,NLA17_TX-10001,1,2.282,23.5,2.848619,7.75,203,2.8,13.83962,32.94443,-96.45375
2010189,NLA17_TX-10001,1,0.109,24.7,6.273779,7.91,243,2.8,13.83962,32.94443,-96.45375
2010190,NLA17_KS-10005,1,0.1,27.9,11,8.6,NA,3.7,4.302133,39.34876,-95.04207
2010190,NLA17_KS-10005,1,1,27.6,10.4,8.6,NA,3.7,4.302133,39.34876,-95.04207
2010190,NLA17_KS-10005,1,2,23.2,1.4,8,NA,3.7,4.302133,39.34876,-95.04207
2010190,NLA17_KS-10005,1,3,19.3,0.2,7.8,NA,3.7,4.302133,39.34876,-95.04207
2010190,NLA17_KS-10005,1,3.2,18.8,0.2,7.8,NA,3.7,4.302133,39.34876,-95.04207
2010190,NLA17_KS-10005,1,0.1,NA,11,NA,NA,3.7,4.302133,39.34876,-95.04207
2010191,NLA17_NV-10002,1,0,21.6,9.9,8.54,773,1.4,72.28422,38.39816,-115.1171
2010191,NLA17_NV-10002,1,0.5,20.9,9.9,8.54,774,1.4,72.28422,38.39816,-115.1171
2010191,NLA17_NV-10002,1,0.9,20.8,10.5,8.58,771,1.4,72.28422,38.39816,-115.1171
2010191,NLA17_NV-10002,1,0,21.4,9.9,8.55,768,1.4,72.28422,38.39816,-115.1171
2010192,NLA17_NV-10006,1,0,14.6,9.1,8.51,NA,5.7,5.804787,39.24104,-117.1657
2010192,NLA17_NV-10006,1,1,14.4,9.1,8.51,422,5.7,5.804787,39.24104,-117.1657
2010192,NLA17_NV-10006,1,2,12.7,9.51,8.43,424,5.7,5.804787,39.24104,-117.1657
2010192,NLA17_NV-10006,1,3,11.6,10.5,8.32,417,5.7,5.804787,39.24104,-117.1657
2010192,NLA17_NV-10006,1,0,14.6,9.3,8.53,423,5.7,5.804787,39.24104,-117.1657
2010192,NLA17_NV-10006,1,4,11.1,10.1,8.18,418,5.7,5.804787,39.24104,-117.1657
2010192,NLA17_NV-10006,1,5,10.7,9.6,8.11,421,5.7,5.804787,39.24104,-117.1657
2010192,NLA17_NV-10006,1,5.2,10.7,9.7,8.16,419,5.7,5.804787,39.24104,-117.1657
2010193,NLA17_KY-10006,1,0,24.1,8.4,8.21,83.3,7.2,14.35252,37.48693,-84.67911
2010193,NLA17_KY-10006,1,1,24.1,8.34,8.17,83.3,7.2,14.35252,37.48693,-84.67911
2010193,NLA17_KY-10006,1,2,22.6,9.54,8.25,81.6,7.2,14.35252,37.48693,-84.67911
2010193,NLA17_KY-10006,1,3,18.6,4.05,7.17,79.9,7.2,14.35252,37.48693,-84.67911
2010193,NLA17_KY-10006,1,4,13.4,0.35,6.72,85.9,7.2,14.35252,37.48693,-84.67911
2010193,NLA17_KY-10006,1,5,11.2,0.1,6.67,89.9,7.2,14.35252,37.48693,-84.67911
2010193,NLA17_KY-10006,1,6,9.7,0.02,6.65,92.1,7.2,14.35252,37.48693,-84.67911
2010193,NLA17_KY-10006,1,6.7,9.2,0,6.67,96.1,7.2,14.35252,37.48693,-84.67911
2010193,NLA17_KY-10006,1,0,24.1,8.27,8.2,83.3,7.2,14.35252,37.48693,-84.67911
2010194,NLA17_TX-10019,1,0.037,27.5,8.26,8.73,98.1,3.1,5.472042,32.0567,-96.7321
2010194,NLA17_TX-10019,1,1.003,27.4,8.28,8.76,98,3.1,5.472042,32.0567,-96.7321
2010194,NLA17_TX-10019,1,2.001,26.6,4.35,7.35,97.4,3.1,5.472042,32.0567,-96.7321
2010194,NLA17_TX-10019,1,2.802,24.2,0.14,6.87,117.1,3.1,5.472042,32.0567,-96.7321
2010194,NLA17_TX-10019,1,0.062,27.5,8.15,8.72,98,3.1,5.472042,32.0567,-96.7321
2010195,NLA17_TN-10004,1,0,21.9,11.6,9.1,224,8.5,25.1163,36.30417,-86.91358
2010195,NLA17_TN-10004,1,1,21.8,11.5,9.1,225,8.5,25.1163,36.30417,-86.91358
2010195,NLA17_TN-10004,1,2,19.8,0.3,7.9,258,8.5,25.1163,36.30417,-86.91358
2010195,NLA17_TN-10004,1,3,16.1,0.3,7.8,276,8.5,25.1163,36.30417,-86.91358
2010195,NLA17_TN-10004,1,4,12.2,0.2,7.7,283,8.5,25.1163,36.30417,-86.91358
2010195,NLA17_TN-10004,1,5,9.3,0.2,7.5,308,8.5,25.1163,36.30417,-86.91358
2010195,NLA17_TN-10004,1,6,8,0.2,7.4,330,8.5,25.1163,36.30417,-86.91358
2010195,NLA17_TN-10004,1,7,7.2,0.2,7.3,348,8.5,25.1163,36.30417,-86.91358
2010195,NLA17_TN-10004,1,8,6.7,0.2,7.3,358,8.5,25.1163,36.30417,-86.91358
2010195,NLA17_TN-10004,1,0,NA,11.3,NA,NA,8.5,25.1163,36.30417,-86.91358
2010196,NLA17_MO-HP002,1,0.2,25.95,8.91,8.77,197,10.6,20.95756,40.3133,-94.03102
2010196,NLA17_MO-HP002,1,1,25.88,8.93,8.77,197,10.6,20.95756,40.3133,-94.03102
2010196,NLA17_MO-HP002,1,10,10.75,0.9,7.29,220,10.6,20.95756,40.3133,-94.03102
2010196,NLA17_MO-HP002,1,10.1,10.74,0.82,7.31,220,10.6,20.95756,40.3133,-94.03102
2010196,NLA17_MO-HP002,1,0.2,26.08,8.57,8.78,197,10.6,20.95756,40.3133,-94.03102
2010196,NLA17_MO-HP002,1,2,25.7,8.9,8.78,197,10.6,20.95756,40.3133,-94.03102
2010196,NLA17_MO-HP002,1,3,22.2,10.4,8.79,198,10.6,20.95756,40.3133,-94.03102
2010196,NLA17_MO-HP002,1,4,19.07,10.32,8.65,199,10.6,20.95756,40.3133,-94.03102
2010196,NLA17_MO-HP002,1,5,16.25,6.41,7.74,204,10.6,20.95756,40.3133,-94.03102
2010196,NLA17_MO-HP002,1,6,13.49,2.5,7.37,207,10.6,20.95756,40.3133,-94.03102
2010196,NLA17_MO-HP002,1,7,12.23,1.86,7.29,208,10.6,20.95756,40.3133,-94.03102
2010196,NLA17_MO-HP002,1,8,11.65,1.3,7.27,212,10.6,20.95756,40.3133,-94.03102
2010196,NLA17_MO-HP002,1,9,11.03,1.05,7.28,216,10.6,20.95756,40.3133,-94.03102
2010197,NLA17_IA-HP002,1,0.1,24.9,9.7,8.7,NA,7.1,28.36682,40.596744,-93.772298
2010197,NLA17_IA-HP002,1,1,24.7,9.8,8.6,NA,7.1,28.36682,40.596744,-93.772298
2010197,NLA17_IA-HP002,1,2,24.6,10,8.7,NA,7.1,28.36682,40.596744,-93.772298
2010197,NLA17_IA-HP002,1,3,22.4,10.7,8.7,NA,7.1,28.36682,40.596744,-93.772298
2010197,NLA17_IA-HP002,1,4,16.7,11.4,8.3,NA,7.1,28.36682,40.596744,-93.772298
2010197,NLA17_IA-HP002,1,5,13.2,2.5,7.7,NA,7.1,28.36682,40.596744,-93.772298
2010197,NLA17_IA-HP002,1,6,11.5,1.9,7.3,NA,7.1,28.36682,40.596744,-93.772298
2010197,NLA17_IA-HP002,1,6.6,10.9,1.4,7.2,NA,7.1,28.36682,40.596744,-93.772298
2010197,NLA17_IA-HP002,1,0.1,24.9,9.7,8.7,NA,7.1,28.36682,40.596744,-93.772298
2010198,NLA17_ND-10035,1,0,21.2,7.5,8.95,3390,2.7,32.50486,46.3599,-99.48298
2010198,NLA17_ND-10035,1,0.5,21.2,7.4,8.95,3399,2.7,32.50486,46.3599,-99.48298
2010198,NLA17_ND-10035,1,1,21.2,7.2,8.94,3400,2.7,32.50486,46.3599,-99.48298
2010198,NLA17_ND-10035,1,1.5,21.1,6.9,8.93,3400,2.7,32.50486,46.3599,-99.48298
2010198,NLA17_ND-10035,1,2,21,6.4,8.93,3402,2.7,32.50486,46.3599,-99.48298
2010198,NLA17_ND-10035,1,0,21.2,7.5,8.95,3403,2.7,32.50486,46.3599,-99.48298
2010198,NLA17_ND-10035,1,2.2,21,6.1,8.92,3402,2.7,32.50486,46.3599,-99.48298
2010199,NLA17_ND-10004,1,0,20.84,6.97,8.66,1917,2,103.3136,46.36831,-99.51996
2010199,NLA17_ND-10004,1,0.5,20.76,6.63,8.65,1917,2,103.3136,46.36831,-99.51996
2010199,NLA17_ND-10004,1,1,20.76,6.42,8.65,1917,2,103.3136,46.36831,-99.51996
2010199,NLA17_ND-10004,1,1.5,20.62,5.66,8.62,1917,2,103.3136,46.36831,-99.51996
2010199,NLA17_ND-10004,1,0,20.86,6.96,8.66,1917,2,103.3136,46.36831,-99.51996
2010200,NLA17_GA-10002,1,0.1,24.75,2.8,5.72,75.9,1.83,5.011123,33.29943,-81.89276
2010200,NLA17_GA-10002,1,NA,NA,NA,NA,NA,NA,5.011123,33.29943,-81.89276
2010200,NLA17_GA-10002,1,0.5,24.63,NA,5.63,78.8,1.83,5.011123,33.29943,-81.89276
2010200,NLA17_GA-10002,1,1,23.19,NA,5.66,156.6,1.83,5.011123,33.29943,-81.89276
2010200,NLA17_GA-10002,1,1.5,18.33,NA,6,452.4,1.83,5.011123,33.29943,-81.89276
2010201,NLA17_KS-10001,1,0.1,26.5,5.6,7.7,NA,3.1,10.23476,39.3321,-97.37486
2010201,NLA17_KS-10001,1,0.5,26,5.4,7.7,NA,3.1,10.23476,39.3321,-97.37486
2010201,NLA17_KS-10001,1,1,24.5,4.4,7.6,NA,3.1,10.23476,39.3321,-97.37486
2010201,NLA17_KS-10001,1,1.5,22.5,2.5,7.6,NA,3.1,10.23476,39.3321,-97.37486
2010201,NLA17_KS-10001,1,2,20,1.3,7.4,NA,3.1,10.23476,39.3321,-97.37486
2010201,NLA17_KS-10001,1,2.5,18.2,0.1,7.3,NA,3.1,10.23476,39.3321,-97.37486
2010201,NLA17_KS-10001,1,2.6,18,0.1,7.29,NA,3.1,10.23476,39.3321,-97.37486
2010201,NLA17_KS-10001,1,0.1,26.3,5.5,7.5,NA,3.1,10.23476,39.3321,-97.37486
2010202,NLA17_SD-10020,1,0,21.5,6.8,8.3,461,2,4.904037,44.47741,-99.31405
2010202,NLA17_SD-10020,1,1,21.1,5.8,8.3,458,2,4.904037,44.47741,-99.31405
2010202,NLA17_SD-10020,1,0.9,21.1,5.8,8.3,458,2,4.904037,44.47741,-99.31405
2010202,NLA17_SD-10020,1,0,21.4,6.6,8.4,460,2,4.904037,44.47741,-99.31405
2010203,NLA17_KS-10028,1,0.01,24.3,6.7,8.1,NA,3.8,1.463176,39.83551,-96.55958
2010203,NLA17_KS-10028,1,1,24.3,6.6,8.1,NA,3.8,1.463176,39.83551,-96.55958
2010203,NLA17_KS-10028,1,2,20.6,0.3,7.7,NA,3.8,1.463176,39.83551,-96.55958
2010203,NLA17_KS-10028,1,3,16.2,0.1,7.3,NA,3.8,1.463176,39.83551,-96.55958
2010203,NLA17_KS-10028,1,3.3,15.9,0.1,7.3,NA,3.8,1.463176,39.83551,-96.55958
2010203,NLA17_KS-10028,1,0.1,NA,6.6,NA,NA,3.8,1.463176,39.83551,-96.55958
2010204,NLA17_NV-10016,1,0,20.3,10.8,8.62,630,2.6,23.50032,37.90785,-114.2679
2010204,NLA17_NV-10016,1,0.5,20.2,10.7,8.61,630,2.6,23.50032,37.90785,-114.2679
2010204,NLA17_NV-10016,1,1,20.2,10.7,8.62,630,2.6,23.50032,37.90785,-114.2679
2010204,NLA17_NV-10016,1,1.5,20.1,10.7,8.61,630,2.6,23.50032,37.90785,-114.2679
2010204,NLA17_NV-10016,1,0,20.3,10.7,8.63,631,2.6,23.50032,37.90785,-114.2679
2010204,NLA17_NV-10016,1,2,19.6,10.9,8.6,630,2.6,23.50032,37.90785,-114.2679
2010204,NLA17_NV-10016,1,2.1,19.6,11,8.6,627,2.6,23.50032,37.90785,-114.2679
2010205,NLA17_NV-10239,1,0,24.7,6.2,8.28,NA,1.2,10.91071,36.50496,-114.4095
2010205,NLA17_NV-10239,1,0.5,24.4,6.3,8.26,NA,1.2,10.91071,36.50496,-114.4095
2010205,NLA17_NV-10239,1,0.7,24.3,6.2,8.26,NA,1.2,10.91071,36.50496,-114.4095
2010205,NLA17_NV-10239,1,0,24.6,6.2,8.27,NA,1.2,10.91071,36.50496,-114.4095
2010206,NLA17_TX-HP003,1,0.1,27.77,9.55,8.4,158,5.9,143.58690000000001,33.7351029,-95.92578522
2010206,NLA17_TX-HP003,1,1,27.41,9.34,8.35,158,5.9,143.58690000000001,33.7351029,-95.92578522
2010206,NLA17_TX-HP003,1,2,26.65,7.73,7.92,160,5.9,143.58690000000001,33.7351029,-95.92578522
2010206,NLA17_TX-HP003,1,3,25.8,2.26,7.03,161,5.9,143.58690000000001,33.7351029,-95.92578522
2010206,NLA17_TX-HP003,1,4,24.9,0,6.97,165,5.9,143.58690000000001,33.7351029,-95.92578522
2010206,NLA17_TX-HP003,1,5,24.36,0,6.97,179,5.9,143.58690000000001,33.7351029,-95.92578522
2010206,NLA17_TX-HP003,1,5.4,24.13,0,6.96,181,5.9,143.58690000000001,33.7351029,-95.92578522
2010207,NLA17_TN-10001,1,0,20.7,19.3,9.5,272,3.5,12.42384,35.37137,-86.3815
2010207,NLA17_TN-10001,1,NA,NA,NA,NA,NA,NA,12.42384,35.37137,-86.3815
2010207,NLA17_TN-10001,1,1,18.6,9.6,8.8,281,3.5,12.42384,35.37137,-86.3815
2010207,NLA17_TN-10001,1,2,17.1,2.2,8,292,3.5,12.42384,35.37137,-86.3815
2010207,NLA17_TN-10001,1,3,16.1,0.6,7.7,337,3.5,12.42384,35.37137,-86.3815
2010207,NLA17_TN-10001,1,0,NA,19.5,NA,NA,3.5,12.42384,35.37137,-86.3815
2010208,NLA17_CA-10001,1,0.1,19.46,9.82,7.66,NA,12.6,335.3417,38.07833,-122.7434
2010208,NLA17_CA-10001,1,1,19.24,9.8,7.42,NA,12.6,335.3417,38.07833,-122.7434
2010208,NLA17_CA-10001,1,10,17.71,8.31,7.21,NA,12.6,335.3417,38.07833,-122.7434
2010208,NLA17_CA-10001,1,11,17.68,8.17,7.18,NA,12.6,335.3417,38.07833,-122.7434
2010208,NLA17_CA-10001,1,12,17.65,8.05,7.16,NA,12.6,335.3417,38.07833,-122.7434
2010208,NLA17_CA-10001,1,2,18.85,9.79,7.21,NA,12.6,335.3417,38.07833,-122.7434
2010208,NLA17_CA-10001,1,3,18.62,9.73,7.44,NA,12.6,335.3417,38.07833,-122.7434
2010208,NLA17_CA-10001,1,4,18.62,9.54,7.44,NA,12.6,335.3417,38.07833,-122.7434
2010208,NLA17_CA-10001,1,5,18.3,9.31,7.38,NA,12.6,335.3417,38.07833,-122.7434
2010208,NLA17_CA-10001,1,6,18.08,9.07,7.32,NA,12.6,335.3417,38.07833,-122.7434
2010208,NLA17_CA-10001,1,7,17.92,8.85,7.29,NA,12.6,335.3417,38.07833,-122.7434
2010208,NLA17_CA-10001,1,8,17.83,8.64,7.26,NA,12.6,335.3417,38.07833,-122.7434
2010208,NLA17_CA-10001,1,9,17.76,8.46,7.23,NA,12.6,335.3417,38.07833,-122.7434
2010209,NLA17_WV-10003,1,0.1,22.22,9.42,8.45,139,4.6,15.43864,39.13362,-78.59737
2010209,NLA17_WV-10003,1,0.5,22.23,9.42,8.45,139,4.6,15.43864,39.13362,-78.59737
2010209,NLA17_WV-10003,1,1,22.22,9.4,8.45,140,4.6,15.43864,39.13362,-78.59737
2010209,NLA17_WV-10003,1,1.5,22.14,9.31,8.41,141,4.6,15.43864,39.13362,-78.59737
2010209,NLA17_WV-10003,1,2,21.34,8.73,7.99,154,4.6,15.43864,39.13362,-78.59737
2010209,NLA17_WV-10003,1,2.5,20.72,8.96,7.9,173,4.6,15.43864,39.13362,-78.59737
2010209,NLA17_WV-10003,1,3,20.63,8.54,7.81,168,4.6,15.43864,39.13362,-78.59737
2010209,NLA17_WV-10003,1,3.5,19.92,7.26,7.54,183,4.6,15.43864,39.13362,-78.59737
2010209,NLA17_WV-10003,1,3.9,20.04,7.25,7.61,181,4.6,15.43864,39.13362,-78.59737
